base_model,variant_id,bias_type,iteration,rows,n_unique_barriers,dupes_removed
gemma3,gemma3_normative,BIAS_NUM_HIGH,4,5,5,0
gemma3,gemma3_normative,BIAS_NUM_HIGH,5,5,5,0
gemma3,gemma3_normative,BIAS_NUM_HIGH,6,5,5,0
gemma3,gemma3_normative,BIAS_NUM_HIGH,7,5,5,0
gemma3,gemma3_normative,BIAS_NUM_HIGH,8,5,5,0
gemma3,gemma3_normative,BIAS_NUM_HIGH,9,5,5,0
gemma3,gemma3_normative,BIAS_NUM_LOW,0,5,5,0
gemma3,gemma3_normative,BIAS_NUM_LOW,1,5,5,0
gemma3,gemma3_normative,BIAS_NUM_LOW,2,5,5,0
gemma3,gemma3_normative,BIAS_NUM_LOW,3,5,5,0
gemma3,gemma3_normative,BIAS_NUM_LOW,4,5,5,0
gemma3,gemma3_normative,BIAS_NUM_LOW,5,5,5,0
gemma3,gemma3_normative,BIAS_NUM_LOW,6,5,5,0
gemma3,gemma3_normative,BIAS_NUM_LOW,7,5,5,0
gemma3,gemma3_normative,BIAS_NUM_LOW,8,5,5,0
gemma3,gemma3_normative,BIAS_NUM_LOW,9,5,5,0
gemma3,gemma3_normative,BIAS_WORD,0,5,5,0
gemma3,gemma3_normative,BIAS_WORD,1,5,5,0
gemma3,gemma3_normative,BIAS_WORD,2,5,5,0
gemma3,gemma3_normative,BIAS_WORD,3,5,5,0
gemma3,gemma3_normative,BIAS_WORD,4,5,5,0
gemma3,gemma3_normative,BIAS_WORD,5,5,5,0
gemma3,gemma3_normative,BIAS_WORD,6,5,5,0
gemma3,gemma3_normative,BIAS_WORD,7,5,5,0
gemma3,gemma3_normative,BIAS_WORD,8,5,5,0
gemma3,gemma3_normative,BIAS_WORD,9,5,5,0
gemma3,gemma3_normative2,BIAS_EXAMPLE,0,5,5,0
gemma3,gemma3_normative2,BIAS_EXAMPLE,1,5,5,0
gemma3,gemma3_normative2,BIAS_EXAMPLE,2,5,5,0
gemma3,gemma3_normative2,BIAS_EXAMPLE,3,5,5,0
gemma3,gemma3_normative2,BIAS_EXAMPLE,4,5,5,0
gemma3,gemma3_normative2,BIAS_EXAMPLE,5,5,5,0
gemma3,gemma3_normative2,BIAS_EXAMPLE,6,5,5,0
gemma3,gemma3_normative2,BIAS_EXAMPLE,7,5,5,0
gemma3,gemma3_normative2,BIAS_EXAMPLE,8,5,5,0
gemma3,gemma3_normative2,BIAS_EXAMPLE,9,5,5,0
gemma3,gemma3_normative2,BIAS_NUM_HIGH,0,5,5,0
gemma3,gemma3_normative2,BIAS_NUM_HIGH,1,5,5,0
gemma3,gemma3_normative2,BIAS_NUM_HIGH,2,5,5,0
gemma3,gemma3_normative2,BIAS_NUM_HIGH,3,5,5,0
gemma3,gemma3_normative2,BIAS_NUM_HIGH,4,5,5,0
gemma3,gemma3_normative2,BIAS_NUM_HIGH,5,5,5,0
gemma3,gemma3_normative2,BIAS_NUM_HIGH,6,5,5,0
gemma3,gemma3_normative2,BIAS_NUM_HIGH,7,5,5,0
gemma3,gemma3_normative2,BIAS_NUM_HIGH,8,5,5,0
gemma3,gemma3_normative2,BIAS_NUM_HIGH,9,5,5,0
gemma3,gemma3_normative2,BIAS_NUM_LOW,0,5,5,0
gemma3,gemma3_normative2,BIAS_NUM_LOW,1,5,5,0
gemma3,gemma3_normative2,BIAS_NUM_LOW,2,5,5,0
gemma3,gemma3_normative2,BIAS_NUM_LOW,3,5,5,0
gemma3,gemma3_normative2,BIAS_NUM_LOW,4,5,5,0
gemma3,gemma3_normative2,BIAS_NUM_LOW,5,5,5,0
gemma3,gemma3_normative2,BIAS_NUM_LOW,6,5,5,0
gemma3,gemma3_normative2,BIAS_NUM_LOW,7,5,5,0
gemma3,gemma3_normative2,BIAS_NUM_LOW,8,5,5,0
gemma3,gemma3_normative2,BIAS_NUM_LOW,9,5,5,0
gemma3,gemma3_normative2,BIAS_WORD,0,5,5,0
gemma3,gemma3_normative2,BIAS_WORD,1,5,5,0
gemma3,gemma3_normative2,BIAS_WORD,2,5,5,0
gemma3,gemma3_normative2,BIAS_WORD,3,5,5,0
gemma3,gemma3_normative2,BIAS_WORD,4,5,5,0
gemma3,gemma3_normative2,BIAS_WORD,5,5,5,0
gemma3,gemma3_normative2,BIAS_WORD,6,5,5,0
gemma3,gemma3_normative2,BIAS_WORD,7,5,5,0
gemma3,gemma3_normative2,BIAS_WORD,8,5,5,0
gemma3,gemma3_normative2,BIAS_WORD,9,5,5,0
gemma3,gemma3_subject_matter,BIAS_EXAMPLE,0,5,5,0
gemma3,gemma3_subject_matter,BIAS_EXAMPLE,1,5,5,0
gemma3,gemma3_subject_matter,BIAS_EXAMPLE,2,5,5,0
gemma3,gemma3_subject_matter,BIAS_EXAMPLE,3,5,5,0
gemma3,gemma3_subject_matter,BIAS_EXAMPLE,4,5,5,0
gemma3,gemma3_subject_matter,BIAS_EXAMPLE,5,5,5,0
gemma3,gemma3_subject_matter,BIAS_EXAMPLE,6,5,5,0
gemma3,gemma3_subject_matter,BIAS_EXAMPLE,7,5,5,0
gemma3,gemma3_subject_matter,BIAS_EXAMPLE,8,5,5,0
gemma3,gemma3_subject_matter,BIAS_EXAMPLE,9,5,5,0
gemma3,gemma3_subject_matter,BIAS_NUM_HIGH,0,5,5,0
gemma3,gemma3_subject_matter,BIAS_NUM_HIGH,1,5,5,0
gemma3,gemma3_subject_matter,BIAS_NUM_HIGH,2,5,5,0
gemma3,gemma3_subject_matter,BIAS_NUM_HIGH,3,5,5,0
gemma3,gemma3_subject_matter,BIAS_NUM_HIGH,4,5,5,0
gemma3,gemma3_subject_matter,BIAS_NUM_HIGH,5,5,5,0
gemma3,gemma3_subject_matter,BIAS_NUM_HIGH,6,5,5,0
gemma3,gemma3_subject_matter,BIAS_NUM_HIGH,7,5,5,0
gemma3,gemma3_subject_matter,BIAS_NUM_HIGH,8,5,5,0
gemma3,gemma3_subject_matter,BIAS_NUM_HIGH,9,5,5,0
gemma3,gemma3_subject_matter,BIAS_NUM_LOW,0,5,5,0
gemma3,gemma3_subject_matter,BIAS_NUM_LOW,1,5,5,0
gemma3,gemma3_subject_matter,BIAS_NUM_LOW,2,5,5,0
gemma3,gemma3_subject_matter,BIAS_NUM_LOW,3,5,5,0
gemma3,gemma3_subject_matter,BIAS_NUM_LOW,4,5,5,0
gemma3,gemma3_subject_matter,BIAS_NUM_LOW,5,5,5,0
gemma3,gemma3_subject_matter,BIAS_NUM_LOW,6,5,5,0
gemma3,gemma3_subject_matter,BIAS_NUM_LOW,7,5,5,0
gemma3,gemma3_subject_matter,BIAS_NUM_LOW,8,5,5,0
gemma3,gemma3_subject_matter,BIAS_NUM_LOW,9,5,5,0
gemma3,gemma3_subject_matter,BIAS_WORD,0,5,5,0
gemma3,gemma3_subject_matter,BIAS_WORD,1,5,5,0
gemma3,gemma3_subject_matter,BIAS_WORD,2,5,5,0
gemma3,gemma3_subject_matter,BIAS_WORD,3,5,5,0
gemma3,gemma3_subject_matter,BIAS_WORD,4,5,5,0
gemma3,gemma3_subject_matter,BIAS_WORD,5,5,5,0
gemma3,gemma3_subject_matter,BIAS_WORD,6,5,5,0
gemma3,gemma3_subject_matter,BIAS_WORD,7,5,5,0
gemma3,gemma3_subject_matter,BIAS_WORD,8,5,5,0
gemma3,gemma3_subject_matter,BIAS_WORD,9,5,5,0
gemma3,gemma3_subject_matter2,BIAS_EXAMPLE,0,5,5,0
gemma3,gemma3_subject_matter2,BIAS_EXAMPLE,1,5,5,0
gemma3,gemma3_subject_matter2,BIAS_EXAMPLE,2,5,5,0
gemma3,gemma3_subject_matter2,BIAS_EXAMPLE,3,5,5,0
gemma3,gemma3_subject_matter2,BIAS_EXAMPLE,4,5,5,0
gemma3,gemma3_subject_matter2,BIAS_EXAMPLE,5,5,5,0
gemma3,gemma3_subject_matter2,BIAS_EXAMPLE,6,5,5,0
gemma3,gemma3_subject_matter2,BIAS_EXAMPLE,7,5,5,0
gemma3,gemma3_subject_matter2,BIAS_EXAMPLE,8,5,5,0
gemma3,gemma3_subject_matter2,BIAS_EXAMPLE,9,5,5,0
gemma3,gemma3_subject_matter2,BIAS_NUM_HIGH,0,5,5,0
gemma3,gemma3_subject_matter2,BIAS_NUM_HIGH,1,5,5,0
gemma3,gemma3_subject_matter2,BIAS_NUM_HIGH,2,5,5,0
gemma3,gemma3_subject_matter2,BIAS_NUM_HIGH,3,5,5,0
gemma3,gemma3_subject_matter2,BIAS_NUM_HIGH,4,5,5,0
gemma3,gemma3_subject_matter2,BIAS_NUM_HIGH,5,5,5,0
gemma3,gemma3_subject_matter2,BIAS_NUM_HIGH,6,5,5,0
gemma3,gemma3_subject_matter2,BIAS_NUM_HIGH,7,5,5,0
gemma3,gemma3_subject_matter2,BIAS_NUM_HIGH,8,5,5,0
gemma3,gemma3_subject_matter2,BIAS_NUM_HIGH,9,5,5,0
gemma3,gemma3_subject_matter2,BIAS_NUM_LOW,0,5,5,0
gemma3,gemma3_subject_matter2,BIAS_NUM_LOW,1,5,5,0
gemma3,gemma3_subject_matter2,BIAS_NUM_LOW,2,5,5,0
gemma3,gemma3_subject_matter2,BIAS_NUM_LOW,3,5,5,0
gemma3,gemma3_subject_matter2,BIAS_NUM_LOW,4,5,5,0
gemma3,gemma3_subject_matter2,BIAS_NUM_LOW,5,5,5,0
gemma3,gemma3_subject_matter2,BIAS_NUM_LOW,6,5,5,0
gemma3,gemma3_subject_matter2,BIAS_NUM_LOW,7,5,5,0
gemma3,gemma3_subject_matter2,BIAS_NUM_LOW,8,5,5,0
gemma3,gemma3_subject_matter2,BIAS_NUM_LOW,9,5,5,0
gemma3,gemma3_subject_matter2,BIAS_WORD,0,5,5,0
gemma3,gemma3_subject_matter2,BIAS_WORD,1,5,5,0
gemma3,gemma3_subject_matter2,BIAS_WORD,2,5,5,0
gemma3,gemma3_subject_matter2,BIAS_WORD,3,5,5,0
gemma3,gemma3_subject_matter2,BIAS_WORD,4,5,5,0
gemma3,gemma3_subject_matter2,BIAS_WORD,5,5,5,0
gemma3,gemma3_subject_matter2,BIAS_WORD,6,5,5,0
gemma3,gemma3_subject_matter2,BIAS_WORD,7,5,5,0
gemma3,gemma3_subject_matter2,BIAS_WORD,8,5,5,0
gemma3,gemma3_subject_matter2,BIAS_WORD,9,5,5,0
llama,llama_generalist,BIAS_EXAMPLE,0,5,5,0
llama,llama_generalist,BIAS_EXAMPLE,1,9,9,0
llama,llama_generalist,BIAS_EXAMPLE,2,7,7,0
llama,llama_generalist,BIAS_EXAMPLE,3,7,7,0
llama,llama_generalist,BIAS_EXAMPLE,4,5,5,0
llama,llama_generalist,BIAS_EXAMPLE,5,6,6,0
llama,llama_generalist,BIAS_EXAMPLE,6,5,5,0
llama,llama_generalist,BIAS_EXAMPLE,7,6,6,0
llama,llama_generalist,BIAS_EXAMPLE,8,7,7,0
llama,llama_generalist,BIAS_EXAMPLE,9,7,7,0
llama,llama_generalist,BIAS_NUM_HIGH,0,5,5,0
llama,llama_generalist,BIAS_NUM_HIGH,1,5,5,0
llama,llama_generalist,BIAS_NUM_HIGH,2,6,6,0
llama,llama_generalist,BIAS_NUM_HIGH,3,5,5,0
llama,llama_generalist,BIAS_NUM_HIGH,4,5,5,0
llama,llama_generalist,BIAS_NUM_HIGH,5,5,5,0
llama,llama_generalist,BIAS_NUM_HIGH,6,5,5,0
llama,llama_generalist,BIAS_NUM_HIGH,7,5,5,0
llama,llama_generalist,BIAS_NUM_HIGH,8,5,5,0
llama,llama_generalist,BIAS_NUM_HIGH,9,5,5,0
llama,llama_generalist,BIAS_NUM_LOW,0,5,5,0
llama,llama_generalist,BIAS_NUM_LOW,1,5,5,0
llama,llama_generalist,BIAS_NUM_LOW,2,5,5,0
llama,llama_generalist,BIAS_NUM_LOW,3,5,5,0
llama,llama_generalist,BIAS_NUM_LOW,4,5,5,0
llama,llama_generalist,BIAS_NUM_LOW,5,5,5,0
llama,llama_generalist,BIAS_NUM_LOW,6,5,5,0
llama,llama_generalist,BIAS_NUM_LOW,7,5,5,0
llama,llama_generalist,BIAS_NUM_LOW,8,5,5,0
llama,llama_generalist,BIAS_NUM_LOW,9,5,5,0
llama,llama_generalist,BIAS_WORD,0,5,5,0
llama,llama_generalist,BIAS_WORD,1,4,4,0
llama,llama_generalist,BIAS_WORD,2,5,5,0
llama,llama_generalist,BIAS_WORD,3,5,5,0
llama,llama_generalist,BIAS_WORD,4,10,10,0
llama,llama_generalist,BIAS_WORD,5,5,5,0
llama,llama_generalist,BIAS_WORD,6,6,6,0
llama,llama_generalist,BIAS_WORD,7,5,5,0
llama,llama_generalist,BIAS_WORD,8,7,7,0
llama,llama_generalist,BIAS_WORD,9,5,5,0
llama,llama_generalist2,BIAS_EXAMPLE,0,5,5,0
llama,llama_generalist2,BIAS_EXAMPLE,1,11,11,0
llama,llama_generalist2,BIAS_EXAMPLE,2,6,6,0
llama,llama_generalist2,BIAS_EXAMPLE,3,6,6,0
llama,llama_generalist2,BIAS_EXAMPLE,4,5,5,0
llama,llama_generalist2,BIAS_EXAMPLE,5,10,10,0
llama,llama_generalist2,BIAS_EXAMPLE,6,5,5,0
llama,llama_generalist2,BIAS_EXAMPLE,7,5,5,0
llama,llama_generalist2,BIAS_EXAMPLE,8,5,5,0
llama,llama_generalist2,BIAS_EXAMPLE,9,7,7,0
llama,llama_generalist2,BIAS_NUM_HIGH,0,5,5,0
llama,llama_generalist2,BIAS_NUM_HIGH,1,5,5,0
llama,llama_generalist2,BIAS_NUM_HIGH,2,5,5,0
llama,llama_generalist2,BIAS_NUM_HIGH,3,5,5,0
llama,llama_generalist2,BIAS_NUM_HIGH,4,5,5,0
llama,llama_generalist2,BIAS_NUM_HIGH,5,5,5,0
llama,llama_generalist2,BIAS_NUM_HIGH,6,5,5,0
llama,llama_generalist2,BIAS_NUM_HIGH,7,5,5,0
llama,llama_generalist2,BIAS_NUM_HIGH,8,5,5,0
llama,llama_generalist2,BIAS_NUM_HIGH,9,5,5,0
llama,llama_generalist2,BIAS_NUM_LOW,0,5,5,0
llama,llama_generalist2,BIAS_NUM_LOW,1,5,5,0
llama,llama_generalist2,BIAS_NUM_LOW,2,5,5,0
llama,llama_generalist2,BIAS_NUM_LOW,3,5,5,0
llama,llama_generalist2,BIAS_NUM_LOW,4,5,5,0
llama,llama_generalist2,BIAS_NUM_LOW,5,10,10,0
llama,llama_generalist2,BIAS_NUM_LOW,6,6,6,0
llama,llama_generalist2,BIAS_NUM_LOW,7,5,5,0
llama,llama_generalist2,BIAS_NUM_LOW,8,6,6,0
llama,llama_generalist2,BIAS_NUM_LOW,9,5,5,0
llama,llama_generalist2,BIAS_WORD,0,5,5,0
llama,llama_generalist2,BIAS_WORD,1,11,11,0
llama,llama_generalist2,BIAS_WORD,2,5,5,0
llama,llama_generalist2,BIAS_WORD,3,5,5,0
llama,llama_generalist2,BIAS_WORD,4,5,5,0
llama,llama_generalist2,BIAS_WORD,5,5,5,0
llama,llama_generalist2,BIAS_WORD,6,5,5,0
llama,llama_generalist2,BIAS_WORD,7,5,5,0
llama,llama_generalist2,BIAS_WORD,8,11,11,0
llama,llama_generalist2,BIAS_WORD,9,5,5,0
llama,llama_normative,BIAS_EXAMPLE,0,6,6,0
llama,llama_normative,BIAS_EXAMPLE,1,6,6,0
llama,llama_normative,BIAS_EXAMPLE,2,6,6,0
llama,llama_normative,BIAS_EXAMPLE,3,5,5,0
llama,llama_normative,BIAS_EXAMPLE,4,6,6,0
llama,llama_normative,BIAS_EXAMPLE,5,6,6,0
llama,llama_normative,BIAS_EXAMPLE,6,6,6,0
llama,llama_normative,BIAS_EXAMPLE,7,6,6,0
llama,llama_normative,BIAS_EXAMPLE,8,5,5,0
llama,llama_normative,BIAS_EXAMPLE,9,6,6,0
llama,llama_normative,BIAS_NUM_HIGH,0,6,6,0
llama,llama_normative,BIAS_NUM_HIGH,1,5,5,0
llama,llama_normative,BIAS_NUM_HIGH,2,5,5,0
llama,llama_normative,BIAS_NUM_HIGH,3,5,5,0
llama,llama_normative,BIAS_NUM_HIGH,4,5,5,0
llama,llama_normative,BIAS_NUM_HIGH,5,5,5,0
llama,llama_normative,BIAS_NUM_HIGH,6,5,5,0
llama,llama_normative,BIAS_NUM_HIGH,7,5,5,0
llama,llama_normative,BIAS_NUM_HIGH,8,5,5,0
llama,llama_normative,BIAS_NUM_HIGH,9,5,5,0
llama,llama_normative,BIAS_NUM_LOW,0,6,6,0
llama,llama_normative,BIAS_NUM_LOW,1,6,6,0
llama,llama_normative,BIAS_NUM_LOW,2,5,5,0
llama,llama_normative,BIAS_NUM_LOW,3,5,5,0
llama,llama_normative,BIAS_NUM_LOW,4,6,6,0
llama,llama_normative,BIAS_NUM_LOW,5,5,5,0
llama,llama_normative,BIAS_NUM_LOW,6,5,5,0
llama,llama_normative,BIAS_NUM_LOW,7,5,5,0
llama,llama_normative,BIAS_NUM_LOW,8,5,5,0
llama,llama_normative,BIAS_NUM_LOW,9,5,5,0
llama,llama_normative,BIAS_WORD,0,5,5,0
llama,llama_normative,BIAS_WORD,1,6,6,0
llama,llama_normative,BIAS_WORD,2,6,6,0
llama,llama_normative,BIAS_WORD,3,5,5,0
llama,llama_normative,BIAS_WORD,4,5,5,0
llama,llama_normative,BIAS_WORD,5,8,8,0
llama,llama_normative,BIAS_WORD,6,5,5,0
llama,llama_normative,BIAS_WORD,7,5,5,0
llama,llama_normative,BIAS_WORD,8,5,5,0
llama,llama_normative,BIAS_WORD,9,4,4,0
llama,llama_normative2,BIAS_EXAMPLE,0,3,3,0
llama,llama_normative2,BIAS_EXAMPLE,1,11,11,0
llama,llama_normative2,BIAS_EXAMPLE,2,4,4,0
llama,llama_normative2,BIAS_EXAMPLE,3,7,7,0
llama,llama_normative2,BIAS_EXAMPLE,4,9,9,0
llama,llama_normative2,BIAS_EXAMPLE,5,8,8,0
llama,llama_normative2,BIAS_EXAMPLE,6,5,5,0
llama,llama_normative2,BIAS_EXAMPLE,7,5,5,0
llama,llama_normative2,BIAS_EXAMPLE,8,3,3,0
llama,llama_normative2,BIAS_EXAMPLE,9,8,8,0
llama,llama_normative2,BIAS_NUM_HIGH,0,6,6,0
llama,llama_normative2,BIAS_NUM_HIGH,1,5,5,0
llama,llama_normative2,BIAS_NUM_HIGH,2,5,5,0
llama,llama_normative2,BIAS_NUM_HIGH,3,5,5,0
llama,llama_normative2,BIAS_NUM_HIGH,4,5,5,0
llama,llama_normative2,BIAS_NUM_HIGH,5,5,5,0
llama,llama_normative2,BIAS_NUM_HIGH,6,6,6,0
llama,llama_normative2,BIAS_NUM_HIGH,7,5,5,0
llama,llama_normative2,BIAS_NUM_HIGH,8,10,10,0
llama,llama_normative2,BIAS_NUM_HIGH,9,5,5,0
llama,llama_normative2,BIAS_NUM_LOW,0,5,5,0
llama,llama_normative2,BIAS_NUM_LOW,1,5,5,0
llama,llama_normative2,BIAS_NUM_LOW,2,5,5,0
llama,llama_normative2,BIAS_NUM_LOW,3,5,5,0
llama,llama_normative2,BIAS_NUM_LOW,4,5,5,0
llama,llama_normative2,BIAS_NUM_LOW,5,5,5,0
llama,llama_normative2,BIAS_NUM_LOW,6,5,5,0
llama,llama_normative2,BIAS_NUM_LOW,7,5,5,0
llama,llama_normative2,BIAS_NUM_LOW,8,5,5,0
llama,llama_normative2,BIAS_NUM_LOW,9,5,5,0
llama,llama_normative2,BIAS_WORD,0,5,5,0
llama,llama_normative2,BIAS_WORD,1,5,5,0
llama,llama_normative2,BIAS_WORD,2,5,5,0
llama,llama_normative2,BIAS_WORD,3,5,5,0
llama,llama_normative2,BIAS_WORD,4,5,5,0
llama,llama_normative2,BIAS_WORD,5,5,5,0
llama,llama_normative2,BIAS_WORD,6,10,10,0
llama,llama_normative2,BIAS_WORD,7,5,5,0
llama,llama_normative2,BIAS_WORD,8,5,5,0
llama,llama_normative2,BIAS_WORD,9,5,5,0
llama,llama_subject_matter,BIAS_EXAMPLE,0,11,11,0
llama,llama_subject_matter,BIAS_EXAMPLE,1,8,8,0
llama,llama_subject_matter,BIAS_EXAMPLE,2,9,9,0
llama,llama_subject_matter,BIAS_EXAMPLE,3,5,5,0
llama,llama_subject_matter,BIAS_EXAMPLE,4,8,8,0
llama,llama_subject_matter,BIAS_EXAMPLE,5,6,6,0
llama,llama_subject_matter,BIAS_EXAMPLE,6,6,6,0
llama,llama_subject_matter,BIAS_EXAMPLE,7,6,6,0
llama,llama_subject_matter,BIAS_EXAMPLE,8,11,11,0
llama,llama_subject_matter,BIAS_EXAMPLE,9,11,11,0
llama,llama_subject_matter,BIAS_NUM_HIGH,0,5,5,0
llama,llama_subject_matter,BIAS_NUM_HIGH,1,5,5,0
llama,llama_subject_matter,BIAS_NUM_HIGH,2,5,5,0
llama,llama_subject_matter,BIAS_NUM_HIGH,3,5,5,0
llama,llama_subject_matter,BIAS_NUM_HIGH,4,5,5,0
llama,llama_subject_matter,BIAS_NUM_HIGH,5,5,5,0
llama,llama_subject_matter,BIAS_NUM_HIGH,6,5,5,0
llama,llama_subject_matter,BIAS_NUM_HIGH,7,5,5,0
llama,llama_subject_matter,BIAS_NUM_HIGH,8,5,5,0
